,tahun,jenis_api,Nilai Produksi,Jumlah Hari,Tanggal Berangkat,Tanggal Kedatangan,nama_ikan_id,berat
14227,2018,Bagan perahu,125000,3,2018-04-08T00:00:00.000,2018-04-10T00:00:00.000,Kembung Perempuan [RAB],5
14299,2018,Jaring insang berlapis,1176000,2,2018-04-09T00:00:00.000,2018-04-10T00:00:00.000,Kembung Perempuan [RAB],42
14447,2018,Bagan perahu,75000,3,2018-04-09T00:00:00.000,2018-04-11T00:00:00.000,Kembung Perempuan [RAB],3
14479,2018,Bagan perahu,200000,3,2018-04-09T00:00:00.000,2018-04-11T00:00:00.000,Kembung Perempuan [RAB],8
14520,2018,Jaring insang berlapis,1596000,2,2018-04-10T00:00:00.000,2018-04-11T00:00:00.000,Kembung Perempuan [RAB],57
14521,2018,Bagan perahu,1450000,3,2018-04-09T00:00:00.000,2018-04-11T00:00:00.000,Kembung Perempuan [RAB],58
14604,2018,Jaring insang berlapis,1204000,2,2018-04-11T00:00:00.000,2018-04-12T00:00:00.000,Kembung Perempuan [RAB],43
14740,2018,Jaring insang berlapis,1372000,2,2018-04-13T00:00:00.000,2018-04-14T00:00:00.000,Kembung Perempuan [RAB],49
14812,2018,Jaring insang berlapis,875000,2,2018-04-14T00:00:00.000,2018-04-15T00:00:00.000,Kembung Perempuan [RAB],35
14890,2018,Bagan perahu,325000,3,2018-04-14T00:00:00.000,2018-04-16T00:00:00.000,Kembung Perempuan [RAB],13
14956,2018,Jaring insang berlapis,1344000,2,2018-04-15T00:00:00.000,2018-04-16T00:00:00.000,Kembung Perempuan [RAB],48
15182,2018,Jaring insang berlapis,1232000,2,2018-04-16T00:00:00.000,2018-04-17T00:00:00.000,Kembung Perempuan [RAB],44
15185,2018,Bagan perahu,1200000,3,2018-04-15T00:00:00.000,2018-04-17T00:00:00.000,Kembung Perempuan [RAB],48
15270,2018,Bagan perahu,100000,2,2018-04-17T00:00:00.000,2018-04-18T00:00:00.000,Kembung Perempuan [RAB],4
15304,2018,Bagan perahu,375000,3,2018-04-16T00:00:00.000,2018-04-18T00:00:00.000,Kembung Perempuan [RAB],15
15331,2018,Jaring insang berlapis,1204000,2,2018-04-17T00:00:00.000,2018-04-18T00:00:00.000,Kembung Perempuan [RAB],43
15336,2018,Bagan perahu,1225000,3,2018-04-16T00:00:00.000,2018-04-18T00:00:00.000,Kembung Perempuan [RAB],49
15380,2018,Bagan perahu,2900000,3,2018-04-16T00:00:00.000,2018-04-18T00:00:00.000,Kembung Perempuan [RAB],116
15489,2018,Bagan perahu,50000,2,2018-04-18T00:00:00.000,2018-04-19T00:00:00.000,Kembung Perempuan [RAB],2
15498,2018,Bagan perahu,125000,2,2018-04-18T00:00:00.000,2018-04-19T00:00:00.000,Kembung Perempuan [RAB],5
15505,2018,Bagan perahu,150000,2,2018-04-18T00:00:00.000,2018-04-19T00:00:00.000,Kembung Perempuan [RAB],6
15526,2018,Bagan perahu,300000,3,2018-04-17T00:00:00.000,2018-04-19T00:00:00.000,Kembung Perempuan [RAB],12
15576,2018,Jaring insang berlapis,1232000,2,2018-04-18T00:00:00.000,2018-04-19T00:00:00.000,Kembung Perempuan [RAB],44
15584,2018,Bagan perahu,1325000,4,2018-04-16T00:00:00.000,2018-04-19T00:00:00.000,Kembung Perempuan [RAB],53
15711,2018,Bagan perahu,200000,3,2018-04-18T00:00:00.000,2018-04-20T00:00:00.000,Kembung Perempuan [RAB],8
15722,2018,Bagan perahu,300000,2,2018-04-19T00:00:00.000,2018-04-20T00:00:00.000,Kembung Perempuan [RAB],12
